id_lexeme	lexeme	ori_lexeme	postag	ori_postag
74119	abhorré	glaff	Adj	glaff
74120	abi	glaff	Nf	glaff
74121	abiauger	glaff	V	glaff
74122	abichite	glaff	Nf	glaff
74123	abidjanais	glaff	Adj	glaff
74124	abidjanais	glaff	Nm	glaff
74125	abidjanaise	dimoc	Adj	dimoc
74126	abidjanaise	glaff	Nf	glaff
74127	abidjaniser	glaff	V	glaff
74128	abidji	glaff	Nm	glaff
74129	abies	glaff	Nm	glaff
74130	abietique	denom	Adj	denom
74131	abigar	glaff	Nf	glaff
74132	abigar	glaff	Nm	glaff
74133	abigaïl	glaff	Nf	glaff
74134	abigeat	glaff	Nm	glaff
74135	abigoti	glaff	Adj	glaff
74136	abigéat	glaff	Nm	glaff
74137	abillois	glaff	Adj	glaff
74138	abillois	dimoc	Nm	dimoc
74139	abilloise	dimoc	Adj	dimoc
74140	abilloise	glaff	Nf	glaff
74141	abimant	glaff	Adj	glaff
74142	abime	glaff	Nm	glaff
74143	abimer	glaff	V	glaff
74144	abimé	glaff	Adj	glaff
74145	abiogenèse	glaff	Nf	glaff
74146	abioglyphe	glaff	Nm	glaff
74147	abiose	glaff	Nf	glaff
74148	abiotique	glaff	Adj	glaff
74149	abismal	glaff	Adj	glaff
74150	abisser	glaff	V	glaff
74151	abitainois	dimoc	Adj	dimoc
74152	abitainois	dimoc	Nm	dimoc
74153	abitainoise	dimoc	Adj	dimoc
74154	abitainoise	dimoc	Nf	dimoc
74155	abitaouais	glaff	Nm	glaff
74156	abitibi-témiscamien	glaff	Nm	glaff
74157	abitibi-témiscamienne	glaff	Nf	glaff
74158	abitibien	glaff	Adj	glaff
74159	abitibien	glaff	Nm	glaff
74160	abitibienne	glaff	Nf	glaff
74161	abitibiienne	dimoc	Adj	dimoc
74162	abitibiienne	dimoc	Nf	dimoc
74163	abiétaie	dimoc	Nf	dimoc
74164	abiéticole	glaff	Adj	glaff
74165	abiétin	glaff	Adj	glaff
74166	abiétine	glaff	Nf	glaff
74167	abiétinique	denom	Adj	denom
74168	abiétiné	glaff	Adj	glaff
74169	abiétinée	glaff	Nf	glaff
74170	abiétinées	glaff	Nm	glaff
74171	abjacois	glaff	Adj	glaff
74172	abjacois	glaff	Nm	glaff
74173	abjacoise	dimoc	Adj	dimoc
74174	abjacoise	glaff	Nf	glaff
74175	abjad	glaff	Nm	glaff
74176	abjadique	glaff	Adj	glaff
74177	abjatois	dimoc	Adj	dimoc
74178	abjatois	dimoc	Nm	dimoc
74179	abjatoise	dimoc	Adj	dimoc
74180	abjatoise	dimoc	Nf	dimoc
74181	abject	glaff	Adj	glaff
74182	abjection	glaff	Nf	glaff
74183	abjectiser	glaff	V	glaff
74184	abjectitude	mordan	Nf	mordan
74185	abjurateur	glaff	Adj	glaff
74186	abjurateur	lexeur	Nm	lexeur
74187	abjuration	demonette	Nf	demonette
74188	abjuratoire	glaff	Adj	glaff
74189	abjurer	demonette	V	demonette
