fœtida	NOM	<unknown>
pyramides	NOM	pyramide
fruits	NOM	fruit
éboulaient	VER:impf	ébouler
gâteaux	NOM	gâteau
miel	NOM	miel
oublié	VER:pper	oublier
quelques	PRO:IND	quelque
uns	NOM	un
petits	ADJ	petit
chiens	NOM	chien
gros	ADJ	gros
ventre	NOM	ventre
soies	NOM	soie
roses	ADJ	rose
engraissait	VER:impf	engraisser
marc	NOM	marc
olives	NOM	olive
mets	VER:pres	mettre
carthaginois	ADJ	carthaginois
abomination	NOM	abomination
autres	ADJ	autre
peuples	NOM	peuple
surprise	NOM	surprise
nourritures	NOM	nourriture
nouvelles	ADJ	nouveau
excitait	VER:impf	exciter
cupidité	NOM	cupidité
estomacs	NOM	estomac
Gaulois	NAM	Gaulois
longs	ADJ	long
cheveux	NOM	cheveu
retroussés	VER:pper	retrousser
sommet	NOM	sommet
tête	NOM	tête
arrachaient	VER:impf	arracher
pastèques	NOM	pastèque
limons	NOM	limon
croquaient	VER:impf	croquer
écorce	NOM	écorce
Nègres	ADJ	nègre
jamais	ADV	jamais
vu	VER:pper	voir
langoustes	NOM	langouste
déchiraient	VER:impf	déchirer
visage	NOM	visage
leurs	DET:POS	leur
piquants	NOM	piquant
rouges	ADJ	rouge
Grecs	NAM	Grecs
rasés	VER:pper	raser
plus	ADV	plus
blancs	ADJ	blanc
marbres	NOM	marbre
jetaient	VER:impf	jeter
derrière	PRP	derrière
épluchures	NOM	épluchure
assiette	NOM	assiette
tandis	KON	tandis
pâtres	NOM	pâtre
Brutium	NAM	<unknown>
vêtus	ADJ	vêtu
peaux	NOM	peau
loups	NOM	loup
dévoraient	VER:impf	dévorer
silencieusement	ADV	silencieusement
visage	NOM	visage
portion	NOM	portion
nuit	NOM	nuit
tombait	VER:impf	tomber
retira	VER:simp	retirer
velarium	NOM	velarium
étalé	VER:pper	étaler
avenue	NOM	avenue
cyprès	NOM	cyprès
apporta	VER:simp	apporter
flambeaux	NOM	flambeau
lueurs	NOM	lueur
vacillantes	ADJ	vacillant
pétrole	NOM	pétrole
brûlait	VER:impf	brûler
vases	NOM	vase
porphyre	NOM	porphyre
effrayèrent	VER:simp	effrayer
haut	NOM	haut
cèdres	NOM	cèdre
singes	NOM	singe
consacrés	VER:pper	consacrer
lune	NOM	lune
poussèrent	VER:simp	pousser
cris	NOM	cri
mit	VER:simp	mettre
soldats	NOM	soldat
gaieté	NOM	gaieté
flammes	NOM	flamme
oblongues	ADJ	oblongue
tremblaient	VER:impf	trembler
cuirasses	NOM	cuirasse
airain	NOM	airain
Toutes	PRO:IND	tout
sortes	NOM	sorte
scintillements	NOM	scintillement
jaillissaient	VER:impf	jaillir
plats	NOM	plat
incrustés	VER:pper	incruster
pierres	NOM	pierre
précieuses	ADJ	précieux
cratères	NOM	cratère
bordure	NOM	bordure
miroirs	NOM	miroir
convexes	ADJ	convexe
multipliaient	VER:impf	multiplier
image	NOM	image
élargie	VER:pper	élargir
choses	NOM	chose
soldats	NOM	soldat
pressant	VER:ppre	presser
autour	ADV	autour
regardaient	VER:impf	regarder
ébahissement	NOM	ébahissement
grimaçaient	VER:impf	grimacer
faire	VER:infi	faire
rire	VER:infi	rire
lançaient	VER:impf	lancer
dessus	ADV	dessus
tables	NOM	table
escabeaux	NOM	escabeau
ivoire	NOM	ivoire
spatules	NOM	spatule
or	KON	or
avalaient	VER:impf	avaler
pleine	ADJ	plein
gorge	NOM	gorge
tous	PRO:IND	tout
vins	NOM	vin
grecs	ADJ	grec
outres	NOM	outre
vins	NOM	vin
Campanie	NAM	Campanie
enfermés	VER:pper	enfermer
amphores	NOM	amphore
vins	NOM	vin
Cantabres	NOM	<unknown>
apporte	VER:pres	apporter
tonneaux	NOM	tonneau
vins	NOM	vin
jujubier	NOM	jujubier
